cat,n_negocios,avg_stars,avg_rc,avg_divergence
Accessories,79,3.930379746835443,36.54430379746835,0.5944760742938333
Active Life,425,4.010588235294118,55.64235294117647,0.5842772631494325
American (New),677,3.6166912850812407,219.0738552437223,0.2969731113575517
American (Traditional),573,3.4153577661431065,193.25479930191972,0.28000229373881014
Apartments,112,2.700892857142857,38.964285714285715,0.2862088490276939
Art Galleries,63,4.261904761904762,66.2063492063492,0.6455269110749915
Arts & Crafts,99,4.136363636363637,50.313131313131315,0.6275098596311375
Arts & Entertainment,395,3.856962025316456,99.96455696202531,0.4944785926041119
Asian Fusion,208,3.7259615384615383,183.41826923076923,0.3807662860119809
Auto Repair,190,3.6868421052631577,39.46842105263158,0.5245909531293919
Automotive,358,3.4818435754189943,39.600558659217874,0.4742385165843451
Bagels,96,3.6770833333333335,143.375,0.42316114713306635
Bakeries,311,3.9356913183279745,124.2250803858521,0.4769266027468637
Barbeque,117,3.6666666666666665,160.69230769230768,0.3668108746081553
Barbers,101,4.202970297029703,49.415841584158414,0.624149672264614
Bars,1103,3.5942883046237535,194.8748866727108,0.3097581087462042
Beauty & Spas,910,3.9214285714285713,53.12307692307692,0.5476108181832754
Beer,207,3.758454106280193,200.4975845410628,0.3908522864608897
Beer Bar,84,3.886904761904762,197.22619047619048,0.3601247263448064
Body Shops,54,4.148148148148148,37.55555555555556,0.6417246295889021
Books,80,4.10625,41.6625,0.6137267191649123
Breakfast & Brunch,610,3.740983606557377,204.5311475409836,0.35637123496235307
Breweries,52,4.0576923076923075,166.90384615384616,0.436302925894441
Bubble Tea,89,3.966292134831461,93.8314606741573,0.4875189579453254
Burgers,300,3.0233333333333334,133.50666666666666,0.24793003290047996
Cafes,267,3.9344569288389515,148.97752808988764,0.45368243001897274
Caribbean,69,3.746376811594203,98.82608695652173,0.4808190695196141
Caterers,238,3.850840336134454,100.44117647058823,0.47189875101124695
Cheesesteaks,154,3.5551948051948052,242.0064935064935,0.3355747631565011
Chicken Shop,54,3.3333333333333335,71.0,0.389825105786356
Chicken Wings,182,2.96978021978022,76.61538461538461,0.30178682963780107
Chinese,376,3.478723404255319,144.7154255319149,0.3651102083905724
Cocktail Bars,193,3.860103626943005,231.1139896373057,0.34040378085328704
Coffee & Tea,713,3.626227208976157,113.48246844319776,0.4068321749916449
Comfort Food,72,3.7708333333333335,240.27777777777777,0.3255074755453824
Contractors,84,3.8273809523809526,33.273809523809526,0.5939304137581716
Convenience Stores,129,3.2248062015503876,34.4031007751938,0.42941505892377
Cosmetic Dentists,82,3.8109756097560976,32.96341463414634,0.5675542517385823
Cosmetics & Beauty Supply,89,3.741573033707865,57.96629213483146,0.5146844900426492
Dance Clubs,73,3.0684931506849313,141.0958904109589,0.2297890546958413
Day Spas,123,3.8780487804878048,72.88617886178862,0.4852957655222405
Delis,223,3.820627802690583,85.37219730941705,0.4990971758633021
Dentists,125,3.76,29.272,0.5708333892886187
Department Stores,57,2.8596491228070176,150.859649122807,0.27226445571890173
Desserts,295,3.9627118644067796,164.67457627118645,0.4372726254427106
Diners,115,3.517391304347826,225.8521739130435,0.2925123543164493
Dive Bars,77,3.779220779220779,99.8961038961039,0.4334404576444376
Doctors,146,3.386986301369863,31.71917808219178,0.4772151810855966
Donuts,74,3.0945945945945947,85.63513513513513,0.3689357227823787
Drugstores,71,2.8098591549295775,28.64788732394366,0.33527297031930153
Dry Cleaning & Laundry,84,3.4464285714285716,27.952380952380953,0.5049473873618137
Education,109,4.022935779816514,41.25688073394495,0.6027593287852747
Electronics,52,2.9711538461538463,34.30769230769231,0.36307487324984755
Ethnic Food,92,3.7880434782608696,240.45652173913044,0.3979164787192744
Event Planning & Services,608,3.768092105263158,100.88322368421052,0.45011684507430766
Eyelash Service,95,4.11578947368421,55.49473684210526,0.5831330091897713
Eyewear & Opticians,51,3.519607843137255,38.31372549019608,0.475637816817426
Fashion,332,3.691265060240964,60.26204819277108,0.527884858877564
Fast Food,267,2.7752808988764044,95.58426966292134,0.26266711415698335
Financial Services,51,3.156862745098039,26.725490196078432,0.4391524833046024
Fitness & Instruction,231,3.9913419913419914,37.19047619047619,0.6016725722911894
Florists,50,4.0,39.86,0.6164086896099986
Flowers & Gifts,103,4.111650485436893,43.407766990291265,0.626912755064986
Food,2404,3.73044925124792,107.15432612312812,0.44193331358501053
Food Delivery Services,113,3.663716814159292,97.64601769911505,0.4331363639476593
Food Stands,72,4.055555555555555,164.26388888888889,0.522592265057312
Food Trucks,121,4.12396694214876,57.43801652892562,0.596391361175158
French,90,3.911111111111111,197.5888888888889,0.3793336000951068
Furniture Stores,58,3.2413793103448274,36.172413793103445,0.4293346166712211
Gastropubs,93,3.8440860215053765,286.9462365591398,0.29482608568431595
General Dentistry,98,3.770408163265306,31.255102040816325,0.5655595299032877
Gluten-Free,64,4.03125,185.265625,0.41221351159608377
Greek,55,3.827272727272727,207.6909090909091,0.34075301799290775
Grocery,233,3.592274678111588,80.48497854077253,0.4620393186621136
Gyms,125,3.68,40.36,0.5124711431519637
Hair Extensions,51,4.029411764705882,59.35294117647059,0.5710670500733209
Hair Removal,226,3.9535398230088497,70.97345132743362,0.5101701288843744
Hair Salons,370,4.022972972972973,51.994594594594595,0.5791273853575365
Hair Stylists,84,4.148809523809524,53.107142857142854,0.6140891851106455
Halal,79,3.8860759493670884,104.0,0.4588238681712147
Health & Medical,578,3.6219723183391004,36.292387543252595,0.5218246876488967
Heating & Air Conditioning/HVAC,50,3.94,42.84,0.6003789201605908
Home & Garden,209,3.6626794258373208,42.64114832535885,0.5114997234131616
Home Cleaning,53,3.7452830188679247,42.43396226415094,0.5292665004796877
Home Decor,78,3.83974358974359,41.52564102564103,0.5656111227604587
Home Services,581,3.5197934595524956,36.695352839931154,0.498423399919604
Hotels,117,3.2051282051282053,119.84615384615384,0.2505687690577526
Hotels & Travel,285,3.0789473684210527,99.14035087719299,0.26581295455919324
IT Services & Computer Repair,52,3.5384615384615383,39.67307692307692,0.4959263017939044
Ice Cream & Frozen Yogurt,174,3.853448275862069,150.94252873563218,0.4523172231077022
Indian,107,3.710280373831776,131.83177570093457,0.38289090791594177
Italian,447,3.6387024608501117,178.9910514541387,0.3354829573626874
Japanese,218,3.756880733944954,165.1605504587156,0.37615358754117006
Jewelry,103,4.281553398058253,35.62135922330097,0.680999311910948
Juice Bars & Smoothies,168,3.818452380952381,136.73809523809524,0.45655678929927557
Korean,86,3.8197674418604652,155.86046511627907,0.39913511835286924
Latin American,64,3.9296875,191.3125,0.418459121279373
Laundry Services,85,3.4352941176470586,27.776470588235295,0.5031245312817981
Local Flavor,138,3.971014492753623,223.94202898550725,0.47840014709515777
Local Services,562,3.667259786476868,43.61032028469751,0.5240683993228088
Lounges,168,3.363095238095238,192.74404761904762,0.2904592450242471
Mags,80,4.10625,41.6625,0.6137267191649123
Makeup Artists,78,4.25,56.67948717948718,0.6274821715378057
Massage,166,3.9789156626506026,57.3855421686747,0.5389111384652564
Massage Therapy,78,4.25,43.35897435897436,0.6635746036722215
Mediterranean,158,3.901898734177215,180.16455696202533,0.39978631409427756
Men's Clothing,95,3.6,37.95789473684211,0.5129639931700067
Men's Hair Salons,60,4.275,56.25,0.6309360172746038
Mexican,271,3.6642066420664205,149.63837638376384,0.3793133751488552
Middle Eastern,106,3.8820754716981134,166.97169811320754,0.4152980234137311
Movers,67,3.5522388059701493,55.32835820895522,0.4546562162830363
Music & Video,80,4.10625,41.6625,0.6137267191649123
Music Venues,94,3.5851063829787235,120.52127659574468,0.3578303464934653
Nail Salons,285,3.542105263157895,59.5859649122807,0.4276600635250896
Nightlife,1217,3.589153656532457,185.90304026294166,0.3185653632470447
Noodles,55,3.827272727272727,247.54545454545453,0.3416022436702164
Oil Change Stations,74,3.4864864864864864,43.82432432432432,0.45191970217532274
Optometrists,58,3.4482758620689653,39.13793103448276,0.46136652705456715
Parks,53,4.179245283018868,87.24528301886792,0.5867265835846075
Performing Arts,64,3.9609375,74.234375,0.5218903178601737
Pet Groomers,62,4.016129032258065,41.91935483870968,0.589258499248251
Pet Services,135,4.229629629629629,37.977777777777774,0.6555875463026256
Pet Sitting,67,4.447761194029851,33.0,0.719784959397673
Pet Stores,57,4.017543859649122,37.63157894736842,0.5956318039422341
Pets,189,4.148148148148148,40.48677248677249,0.6268757616867981
Pizza,654,3.268348623853211,99.41590214067278,0.3363565619930697
Professional Services,195,3.6769230769230767,46.65128205128205,0.5392007330105804
Property Management,51,2.764705882352941,33.294117647058826,0.2979192387794528
Public Services & Government,103,3.3300970873786406,59.05825242718446,0.41149815425701225
Pubs,195,3.612820512820513,204.76923076923077,0.3044342411518532
Real Estate,174,3.0057471264367814,34.8448275862069,0.3721891146760049
Real Estate Services,60,3.3833333333333333,30.116666666666667,0.4759417060707066
Restaurants,4783,3.589274513903408,137.64812878946267,0.3729516183564184
Salad,244,3.6598360655737703,139.62704918032787,0.3600382916059789
Sandwiches,776,3.6282216494845363,139.99742268041237,0.38760907480608797
Seafood,291,3.5395189003436425,176.24742268041237,0.3378218700105561
Sewing & Alterations,68,3.8970588235294117,37.86764705882353,0.5829022066604688
Shipping Centers,64,2.546875,36.671875,0.2326555546919368
Shoe Stores,62,3.6129032258064515,34.20967741935484,0.5249754735216602
Shopping,1219,3.7842493847415914,49.08613617719442,0.5475437868205073
Skin Care,156,4.041666666666667,64.9551282051282,0.549141900625519
Soul Food,78,3.4743589743589745,96.17948717948718,0.40760585942946564
Soup,83,3.5120481927710845,146.81927710843374,0.31795686698429004
Specialty Food,366,3.9562841530054644,138.13934426229508,0.491524323650227
Specialty Schools,59,4.161016949152542,37.30508474576271,0.6399825291663902
Sporting Goods,77,3.824675324675325,114.36363636363636,0.5392219985479172
Sports Bars,129,3.2829457364341086,147.62790697674419,0.25326428220376024
Steakhouses,98,3.3979591836734695,241.94897959183675,0.2373008865511128
Street Vendors,56,4.160714285714286,55.82142857142857,0.6133301544227161
Sushi Bars,169,3.7159763313609466,168.36094674556213,0.3576660755482621
Tapas/Small Plates,50,3.89,321.74,0.2855009238843465
Thai,107,3.7523364485981308,163.8785046728972,0.368451121768204
Tires,80,3.6,40.5625,0.497719794376936
Trainers,84,3.6904761904761907,44.107142857142854,0.502077023093543
Transportation,73,2.6301369863013697,81.41095890410959,0.16938586029098754
Used,53,3.69811320754717,79.24528301886792,0.5094720664831379
Vegan,135,4.062962962962963,186.01481481481483,0.419589836521185
Vegetarian,184,3.8614130434782608,198.83152173913044,0.3837233578224427
Venues & Event Spaces,189,3.693121693121693,137.2010582010582,0.39026326589515753
Veterinarians,59,3.8983050847457625,55.91525423728814,0.5211078271839832
Vietnamese,120,3.9208333333333334,128.375,0.42914136696668825
Vintage & Consignment,53,3.69811320754717,79.24528301886792,0.5094720664831379
Waxing,158,4.0284810126582276,71.70253164556962,0.5267884098437029
Wine & Spirits,207,3.758454106280193,200.4975845410628,0.3908522864608897
Wine Bars,98,3.7551020408163267,255.85714285714286,0.29400076160861593
Women's Clothing,141,3.698581560283688,34.98581560283688,0.5462754715078177
Yoga,86,4.325581395348837,34.325581395348834,0.6929662283352442
